stage,seed,n_video,video,backbone,accuracy,f1
FE,1665,2,78,FL-BB,0.28416779431664413,0.24992246576012428
FE,1665,2,75,FL-BB,0.7425897035881436,0.4211314616293757
FE,1665,2,49,FL-BB,0.40993417115499703,0.30307284957698943
FE,1665,2,54,FL-BB,0.46741935483870967,0.2955154698860068
FE,1665,2,66,FL-BB,0.59375,0.47386015044136587
FE,1665,2,76,FL-BB,0.42129105322763305,0.34125683460695166
FE,1665,2,70,FL-BB,0.3525963149078727,0.25147794123878725
FE,1665,2,53,FL-BB,0.6021931160523911,0.3635148298052974
FE,1665,2,55,FL-BB,0.4474445515911283,0.3479184329152173
FE,1665,2,74,FL-BB,0.2729498164014688,0.24464645532430795
FE,1665,2,59,FL-BB,0.5611854684512428,0.38814539265424625
FE,1665,2,61,FL-BB,0.4817418915853935,0.2706421835281318
FE,1665,2,60,FL-BB,0.42693522906793047,0.30174286047753
FE,1665,2,80,FL-BB,0.5829466357308585,0.40479879767307664
FE,1665,2,79,FL-BB,0.5878734622144113,0.2938676430625264
FE,1665,2,52,FL-BB,0.4898270600203459,0.37142567957767525
FE,1665,2,68,FL-BB,0.5618661257606491,0.5086634518569056
FE,1665,2,51,FL-BB,0.31623641304347827,0.25729686256122436
FE,1665,2,72,FL-BB,0.3538312942691565,0.20758946644507814
FE,1665,2,67,FL-BB,0.28601784955376114,0.2816649934989949
FE,1665,2,64,FL-BB,0.3999165971643036,0.24694826849913096
FE,1665,2,73,FL-BB,0.5132743362831859,0.25037845914174867
FE,1665,2,62,FL-BB,0.3612204724409449,0.39735388590464055
FE,8914,2,65,FL-BB,0.590496529631607,0.263882102611077
FE,8914,2,77,FL-BB,0.44204636290967225,0.3306860992515332
FE,8914,2,50,FL-BB,0.5630712979890311,0.4065887462030055
FE,8914,2,69,FL-BB,0.580327868852459,0.2501189146326501
FE,8914,2,71,FL-BB,0.6147117296222664,0.28461832407158844
FE,8914,2,63,FL-BB,0.060879697057966795,0.0670422021824482
FE,8914,2,57,FL-BB,0.53419452887538,0.3827440065375631
FE,8914,2,56,FL-BB,0.2966194111232279,0.17959269030559874
FE,8914,2,58,FL-BB,0.6631069581178041,0.31170674751178495
FE,8914,2,78,FL-BB,0.2408660351826793,0.22302241955598284
FE,8914,2,75,FL-BB,0.5798231929277171,0.27715180784733306
FE,8914,2,49,FL-BB,0.5146618791143028,0.39929359439790646
FE,8914,2,54,FL-BB,0.2764516129032258,0.16437897308639873
FE,8914,2,66,FL-BB,0.5866228070175439,0.3708077777161414
FE,8914,2,76,FL-BB,0.5753114382785957,0.31177946686496766
FE,8914,2,70,FL-BB,0.4204355108877722,0.27412348776640055
FE,8914,2,53,FL-BB,0.6631130063965884,0.3396222994028668
FE,8914,2,55,FL-BB,0.7319189971070396,0.45628890791935867
FE,8914,2,74,FL-BB,0.11505507955936352,0.1487927002102869
FE,8914,2,59,FL-BB,0.5325047801147228,0.39177026929152753
FE,8914,2,61,FL-BB,0.5742798820594239,0.28749284546210435
FE,8914,2,60,FL-BB,0.3281990521327014,0.22543892290960388
FE,8914,2,80,FL-BB,0.7482598607888631,0.3738403232547866
FE,8914,2,79,FL-BB,0.37053309900410075,0.2505540409542159
FE,8914,2,52,FL-BB,0.5330620549338759,0.3466707537715776
FE,8914,2,68,FL-BB,0.6024340770791075,0.4453651765861176
FE,8914,2,51,FL-BB,0.49320652173913043,0.3107130016154194
FE,8914,2,72,FL-BB,0.46265292981326467,0.30051092974068216
FE,8914,2,67,FL-BB,0.21929451763705907,0.1862788663605813
FE,8914,2,64,FL-BB,0.6801501251042535,0.34192075795271737
FE,8914,2,73,FL-BB,0.26843657817109146,0.14090689332310713
FE,8914,2,62,FL-BB,0.38927165354330706,0.3189385923675065
FE,37,2,65,CEN-BB,0.590496529631607,0.4065343708651245
FE,37,2,77,CEN-BB,0.5499600319744204,0.3929236049414377
FE,37,2,50,CEN-BB,0.45978062157221206,0.290827306951391
FE,37,2,69,CEN-BB,0.5197814207650273,0.3586340179058642
FE,37,2,71,CEN-BB,0.47594433399602387,0.2665997575422632
FE,37,2,63,CEN-BB,0.20477716283134284,0.20026123300513515
FE,37,2,57,CEN-BB,0.354483282674772,0.3402593933828611
FE,37,2,56,CEN-BB,0.3718647764449291,0.3349833542752462
FE,37,2,58,CEN-BB,0.38878691807108295,0.2505507388421501
FE,37,2,78,CEN-BB,0.36671177266576455,0.43037641435283447
FE,37,2,75,CEN-BB,0.8023920956838273,0.4625706608722121
FE,37,2,49,CEN-BB,0.5074805505685218,0.4908687513580743
FE,37,2,54,CEN-BB,0.5567741935483871,0.44565036757717785
FE,37,2,66,CEN-BB,0.5663377192982456,0.38372832044605376
FE,37,2,76,CEN-BB,0.4805587013967535,0.3127816685876791
FE,37,2,70,CEN-BB,0.4128978224455611,0.38423890771225555
FE,37,2,53,CEN-BB,0.5632043862321048,0.3924832855998012
FE,37,2,55,CEN-BB,0.42333654773384766,0.28594057981882226
FE,37,2,74,CEN-BB,0.3292533659730722,0.30175650771781143
FE,37,2,59,CEN-BB,0.5449330783938815,0.4826706184750581
FE,37,2,61,CEN-BB,0.6454978453163983,0.3874934716098172
FE,37,2,60,CEN-BB,0.38467614533965244,0.38095583876544553
FE,37,2,80,CEN-BB,0.6925754060324826,0.4574979480571832
